系统端,用户角色,一级模块,二级模块,功能点,功能描述
移动端（H5）,承租用户,电子合同,合同签署,合同查阅,支付成功后进入合同页；合同HTML格式渲染，响应式布局适配屏幕；支持上下滑动浏览；底部"已阅读并同意"勾选框，勾选后可进入签署
移动端（H5）,承租用户,我的订单,订单管理,取消预约,对待审核或待支付的预约订单可申请取消；取消后释放预约名额；已支付订单需联系管理员处理退款
========================================业务流程说明========================================,,,,,
业务流程说明,/,非晒场资产竞拍流程,步骤1,资产录入,后台管理员录入可竞拍资产信息，完善资产详情
业务流程说明,/,非晒场资产竞拍流程,步骤2,发布公告,后台管理员发布竞拍公告，经审核后在APP公示
业务流程说明,/,非晒场资产竞拍流程,步骤3,发布竞拍项目,后台管理员发布竞拍项目，设置竞拍规则和时间
业务流程说明,/,非晒场资产竞拍流程,步骤4,用户报名,用户在APP查看竞拍信息，填写资料提交报名申请
业务流程说明,/,非晒场资产竞拍流程,步骤5,报名审核,连队管理员审核报名信息，审核通过后用户获得竞拍资格
业务流程说明,/,非晒场资产竞拍流程,步骤6,缴纳保证金,用户通过农行支付缴纳竞拍保证金
业务流程说明,/,非晒场资产竞拍流程,步骤7,参与竞拍,竞拍开始后用户实时出价竞拍，系统记录所有出价
业务流程说明,/,非晒场资产竞拍流程,步骤8,结果审核,竞拍结束后管理员审核竞拍结果
业务流程说明,/,非晒场资产竞拍流程,步骤9,结果公示,审核通过后系统生成并公示竞拍结果
业务流程说明,/,非晒场资产竞拍流程,步骤10,签署合同,中标用户在APP查阅并签署电子合同，系统自动加盖公章
业务流程说明,/,非晒场资产竞拍流程,步骤11,支付租金,中标用户按合同约定支付租金
业务流程说明,/,非晒场资产竞拍流程,步骤12,保证金处理,中标用户保证金抵扣租金或退还；未中标用户保证金原路退回
业务流程说明,/,晒场预约流程,步骤1,晒场上架,后台管理员录入晒场信息并上架，配置容量和预约规则
业务流程说明,/,晒场预约流程,步骤2,浏览晒场,用户在APP浏览可预约晒场列表和详情
业务流程说明,/,晒场预约流程,步骤3,选择时段,用户选择预约使用时段，系统检测容量冲突
业务流程说明,/,晒场预约流程,步骤4,提交申请,用户确认信息后提交预约申请
业务流程说明,/,晒场预约流程,步骤5,预约审核,连队管理员人工审核或系统自动审核（每日19:00）
业务流程说明,/,晒场预约流程,步骤6,支付保证金,审核通过后用户通过农行支付缴纳保证金
业务流程说明,/,晒场预约流程,步骤7,签署合同,支付成功后用户查阅并签署电子合同
业务流程说明,/,晒场预约流程,步骤8,使用晒场,用户按预约时段使用晒场
业务流程说明,/,晒场预约流程,步骤9,保证金退还,使用完成后经验收无异常，保证金原路退还
